Province,District,Tehsil,Union Council,Village/City
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD SHAMALI,PIR JAMAL
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD SHAMALI,SARDARI
AZAD KASHMIR,BHIMBER,BARNALA,IFTIKHAR ABAD SHAMALI,SINGRI
AZAD KASHMIR,BHIMBER,BARNALA,JANDDA,KODIAR
AZAD KASHMIR,BHIMBER,BARNALA,JANDDA,TOMBA
AZAD KASHMIR,BHIMBER,BARNALA,KAJLOOR,TIBBI
AZAD KASHMIR,BHIMBER,BARNALA,KANGRA,KANGRA
AZAD KASHMIR,BHIMBER,BARNALA,KANGRA,POTHI
AZAD KASHMIR,BHIMBER,BARNALA,KANGRA,RADIALA
AZAD KASHMIR,BHIMBER,BARNALA,KHADHALA,KADHALA
AZAD KASHMIR,BHIMBER,BARNALA,KOT ALI BAHADAR,BANIAN
AZAD KASHMIR,BHIMBER,BARNALA,KOT ALI BAHADAR,BHARKA BASTI
AZAD KASHMIR,BHIMBER,BARNALA,KOT ALI BAHADAR,DHANGRI
AZAD KASHMIR,BHIMBER,BARNALA,KOT ALI BAHADAR,DINGI
AZAD KASHMIR,BHIMBER,BARNALA,KOT ALI BAHADAR,KOT ALI BAHADAR
AZAD KASHMIR,BHIMBER,BARNALA,KOT ALI BAHADAR,KOT JAMEL
AZAD KASHMIR,BHIMBER,BARNALA,KOT ALI BAHADAR,MERA JATTAN
AZAD KASHMIR,BHIMBER,BARNALA,KOT ALI BAHADAR,NASEEM ABAD
AZAD KASHMIR,BHIMBER,BARNALA,KOT ALI BAHADAR,NOOR WALA
AZAD KASHMIR,BHIMBER,BARNALA,KOT ALI BAHADAR,PINDI ABDAL
AZAD KASHMIR,BHIMBER,BARNALA,KOT ALI BAHADAR,POIAN
AZAD KASHMIR,BHIMBER,BARNALA,KOT ALI BAHADAR,QILLA CHAPPER
AZAD KASHMIR,BHIMBER,BARNALA,KOT ALI BAHADAR,ROHI
AZAD KASHMIR,BHIMBER,BARNALA,KOT ALI BAHADAR,SARILA CHAPAR
AZAD KASHMIR,BHIMBER,BARNALA,KOT ALI BAHADAR,SOJOWAL
AZAD KASHMIR,BHIMBER,BARNALA,KOT ALI BAHADAR,UPPER WATALA
AZAD KASHMIR,BHIMBER,BARNALA,MALOTE,AHMED ABAD
AZAD KASHMIR,BHIMBER,BARNALA,MALOTE,BANG DAWARA
AZAD KASHMIR,BHIMBER,BARNALA,MALOTE,BARIALA
AZAD KASHMIR,BHIMBER,BARNALA,MALOTE,BHAGWAL
AZAD KASHMIR,BHIMBER,BARNALA,MALOTE,BIOTE
AZAD KASHMIR,BHIMBER,BARNALA,MALOTE,CHAHI
AZAD KASHMIR,BHIMBER,BARNALA,MALOTE,CHAMBA
AZAD KASHMIR,BHIMBER,BARNALA,MALOTE,DARIALA
AZAD KASHMIR,BHIMBER,BARNALA,MALOTE,DHAMAK
AZAD KASHMIR,BHIMBER,BARNALA,MALOTE,HAJI PURA
AZAD KASHMIR,BHIMBER,BARNALA,MALOTE,KAJHORI
AZAD KASHMIR,BHIMBER,BARNALA,MALOTE,KARI AWAN
AZAD KASHMIR,BHIMBER,BARNALA,MALOTE,KASS BANIAN
AZAD KASHMIR,BHIMBER,BARNALA,MALOTE,KHARI
AZAD KASHMIR,BHIMBER,BARNALA,MALOTE,KHUND
AZAD KASHMIR,BHIMBER,BARNALA,MALOTE,LAKKAR MANDI
AZAD KASHMIR,BHIMBER,BARNALA,MALOTE,MALNI
AZAD KASHMIR,BHIMBER,BARNALA,MALOTE,MALOTE KHAS
AZAD KASHMIR,BHIMBER,BARNALA,MALOTE,PEROWALA
AZAD KASHMIR,BHIMBER,BARNALA,MALOTE,SHERIANWALA
AZAD KASHMIR,BHIMBER,BARNALA,MANAWAR,CHAK SAEED
AZAD KASHMIR,BHIMBER,BARNALA,MANAWAR,GARI DERJO
AZAD KASHMIR,BHIMBER,BARNALA,MANAWAR,NAGAIL
AZAD KASHMIR,BHIMBER,BARNALA,MANQOTIAN,GOLRAY
AZAD KASHMIR,BHIMBER,BARNALA,MANQOTIAN,KHARIAN
AZAD KASHMIR,BHIMBER,BARNALA,MANQOTIAN,LAKHO CHAK
AZAD KASHMIR,BHIMBER,BARNALA,PANGALI,BALIWAL
AZAD KASHMIR,BHIMBER,BARNALA,PANGALI,BARHMLA
AZAD KASHMIR,BHIMBER,BARNALA,PANGALI,CHINEER
AZAD KASHMIR,BHIMBER,BARNALA,PANGALI,DHARA
AZAD KASHMIR,BHIMBER,BARNALA,PANGALI,DHORANWALA
AZAD KASHMIR,BHIMBER,BARNALA,PANGALI,HEER
AZAD KASHMIR,BHIMBER,BARNALA,PANGALI,KHOKHARA CHABAN
AZAD KASHMIR,BHIMBER,BARNALA,PANGALI,NANDPUR
AZAD KASHMIR,BHIMBER,BARNALA,PANGALI,PANGALI KALAN
AZAD KASHMIR,BHIMBER,BARNALA,PANGALI,PANGALI KHURD
AZAD KASHMIR,BHIMBER,BARNALA,PANGALI,RAIPUR
AZAD KASHMIR,BHIMBER,BARNALA,PANGALI,ROHEELA
AZAD KASHMIR,BHIMBER,BARNALA,PATNI,AMGAH
AZAD KASHMIR,BHIMBER,BARNALA,PATNI,BANDI
AZAD KASHMIR,BHIMBER,BARNALA,PATNI,CHANIRA
AZAD KASHMIR,BHIMBER,BARNALA,PATNI,JHANG
AZAD KASHMIR,BHIMBER,BARNALA,PATNI,KANJLOOR
AZAD KASHMIR,BHIMBER,BARNALA,PATNI,KHADAH
AZAD KASHMIR,BHIMBER,BARNALA,PATNI,KIANI
AZAD KASHMIR,BHIMBER,BARNALA,PATNI,NALI
AZAD KASHMIR,BHIMBER,BARNALA,PATNI,PATNI
AZAD KASHMIR,BHIMBER,BARNALA,PATNI,TARITA CHAPAR
AZAD KASHMIR,BHIMBER,BARNALA,PATNI,TEHNI
AZAD KASHMIR,BHIMBER,BARNALA,PATNI,THAMB
AZAD KASHMIR,BHIMBER,BARNALA,QILLA CHAPPER,(blank)
AZAD KASHMIR,BHIMBER,BARNALA,THAMB,(blank)
AZAD KASHMIR,BHIMBER,BHIMBER,AKBAR ABAD(KALRI),AKBARABAD(KALRI)
AZAD KASHMIR,BHIMBER,BHIMBER,AKBAR ABAD(KALRI),FAKROT
AZAD KASHMIR,BHIMBER,BHIMBER,AKBAR ABAD(KALRI),GORA NAKKA
AZAD KASHMIR,BHIMBER,BHIMBER,AKBAR ABAD(KALRI),IBRAHEEM ABAD
AZAD KASHMIR,BHIMBER,BHIMBER,AKBAR ABAD(KALRI),JABBI
AZAD KASHMIR,BHIMBER,BHIMBER,AKBAR ABAD(KALRI),KAMGRI
AZAD KASHMIR,BHIMBER,BHIMBER,AKBAR ABAD(KALRI),KANGRA
AZAD KASHMIR,BHIMBER,BHIMBER,AKBAR ABAD(KALRI),KHADORA
AZAD KASHMIR,BHIMBER,BHIMBER,AKBAR ABAD(KALRI),MERA GHAZI
AZAD KASHMIR,BHIMBER,BHIMBER,AKBAR ABAD(KALRI),SEHLAR
AZAD KASHMIR,BHIMBER,BHIMBER,AKBAR ABAD(KALRI),SULTAN PUR
AZAD KASHMIR,BHIMBER,BHIMBER,ALI BEG,(blank)
AZAD KASHMIR,BHIMBER,BHIMBER,BARING,(blank)
AZAD KASHMIR,BHIMBER,BHIMBER,BARSALI,(blank)
AZAD KASHMIR,BHIMBER,BHIMBER,BHIMBER,BHIMBER
AZAD KASHMIR,BHIMBER,BHIMBER,BHIMBER  RAJANI,BARING
AZAD KASHMIR,BHIMBER,BHIMBER,BHIMBER  RAJANI,BARSALI
AZAD KASHMIR,BHIMBER,BHIMBER,BHIMBER  RAJANI,BHIMBER RAJANI
AZAD KASHMIR,BHIMBER,BHIMBER,BHIMBER  RAJANI,BHOTO SIAL
AZAD KASHMIR,BHIMBER,BHIMBER,BHIMBER  RAJANI,CHARIAN
AZAD KASHMIR,BHIMBER,BHIMBER,BHIMBER  RAJANI,CHITI DHERI
AZAD KASHMIR,BHIMBER,BHIMBER,BHIMBER  RAJANI,DODAM
AZAD KASHMIR,BHIMBER,BHIMBER,BHIMBER  RAJANI,GARHA BAGRAN
AZAD KASHMIR,BHIMBER,BHIMBER,BHIMBER  RAJANI,GARHA KHIRAN
AZAD KASHMIR,BHIMBER,BHIMBER,BHIMBER  RAJANI,LASS
AZAD KASHMIR,BHIMBER,BHIMBER,BHIMBER  RAJANI,MACHIA
AZAD KASHMIR,BHIMBER,BHIMBER,BHIMBER  RAJANI,MATHALA
AZAD KASHMIR,BHIMBER,BHIMBER,BHIMBER  RAJANI,MORAH SADDA
AZAD KASHMIR,BHIMBER,BHIMBER,BHIMBER  RAJANI,PEER KANJI
AZAD KASHMIR,BHIMBER,BHIMBER,BHIMBER  RAJANI,PEHAL CHOHAN
AZAD KASHMIR,BHIMBER,BHIMBER,BHIMBER  RAJANI,RAKH RANDYAM
AZAD KASHMIR,BHIMBER,BHIMBER,BHIMBER  RAJANI,RANDIAM
AZAD KASHMIR,BHIMBER,BHIMBER,BHIMBER  RAJANI,ROPERI
AZAD KASHMIR,BHIMBER,BHIMBER,CHHANI RAIKI,(blank)
AZAD KASHMIR,BHIMBER,BHIMBER,DAURA,CHAMAT
AZAD KASHMIR,BHIMBER,BHIMBER,DAURA,CHHANI KANJAL
AZAD KASHMIR,BHIMBER,BHIMBER,DAURA,CHUNJAH
AZAD KASHMIR,BHIMBER,BHIMBER,DAURA,DAURA
AZAD KASHMIR,BHIMBER,BHIMBER,DAURA,DHABAKI
AZAD KASHMIR,BHIMBER,BHIMBER,DAURA,DHERI WATAN
AZAD KASHMIR,BHIMBER,BHIMBER,DAURA,DHOK CHACHAN
AZAD KASHMIR,BHIMBER,BHIMBER,DAURA,DHOK LALYAN
AZAD KASHMIR,BHIMBER,BHIMBER,DAURA,DHOKE ALLAH RAKHA
AZAD KASHMIR,BHIMBER,BHIMBER,DAURA,DURIAN
AZAD KASHMIR,BHIMBER,BHIMBER,DAURA,GARHA MANJAL
AZAD KASHMIR,BHIMBER,BHIMBER,DAURA,GARHA MATIAL
AZAD KASHMIR,BHIMBER,BHIMBER,DAURA,GARHA REHMAN
AZAD KASHMIR,BHIMBER,BHIMBER,DAURA,GOCHAR
AZAD KASHMIR,BHIMBER,BHIMBER,DAURA,JALIAN
AZAD KASHMIR,BHIMBER,BHIMBER,DAURA,KALOWAL
